City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
1,Saint-Pierre,RE,67.91,-21.3393,55.4781,Alize Plage
2,San Quintin,MX,73.58,30.4833,-115.95,Don Eddie's Sport Fishing Center
8,Ribeira Grande,PT,67.05,38.5167,-28.7,Quinta da Meia Eira
14,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
15,Yantzaza,EC,68.49,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
19,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
20,Hrubieszow,PL,62.38,50.805,23.8925,Hotel Jagiełło
25,Mokhsogollokh,RU,72.95,61.4681,128.9203,
27,Faya,SA,72.12,18.3851,42.4509,املاك خالد الشعشوع
32,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
34,Inhambane,MZ,65.66,-23.865,35.3833,Oceano
40,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
42,Asau,RO,72.95,46.4333,26.4,Casa Mika Ciobanus
47,Hualmay,PE,62.94,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
48,Benguela,AO,67.87,-12.5763,13.4055,Hotel Praia Morena
51,Zhigansk,RU,65.37,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
58,Hauterive,FR,66.96,46.0901,3.4459,Aletti Palace Hotel
59,Dawson Creek,CA,65.84,55.7666,-120.2362,Peace Villa Motel
60,Souillac,MU,71.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
68,Quatre Cocos,MU,71.71,-20.2078,57.7625,Sunrise Attitude Hotel
69,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
72,Muros,ES,66.09,42.7762,-9.0603,Apartment Av. Castelao
81,Sitka,US,62.49,57.0531,-135.33,Westmark Sitka
91,Asau,RO,72.95,46.4333,26.4,Casa Mika Ciobanus
93,Nikolskoye,RU,69.69,59.7035,30.7861,Tourist House - Sablino
94,Sao Joao Da Barra,BR,72.1,-21.6403,-41.0511,Pousada Porto De Canoas
97,Tamale,GH,72.57,9.4008,-0.8393,Tap Hotel
98,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
107,Belmonte,BR,73.08,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
110,Winkler,CA,73.4,49.1817,-97.941,Quality Inn & Suites
113,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
115,Le Port,RE,69.76,-20.9373,55.2919,KORBEY D'OR OUEST
